Molecula,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11,Pos_12,Pos_13,Pos_14,Pos_15,Pos_16,nm_R1,R1,Rmax,nm_Rmax,Rmin,nm_Rmin,e1,m1,g1,gmax1,gmax,gmaxmax,gmin,gminmin
6Heliceno_2-NO2_8-CHO_13-CHO_16-NO2.log,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.78,459.97,7.0729,253.6915,391.23,-142.3632,328.24,1.38,0.474,0.00149,0.013776375,0.0117,0.028515763,-0.00754,0.011910934
6Heliceno_14-cloro_15-fluor_12-yodo_13-yodo.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.227,0.06,0.0,392.06,20.0014,392.577,354.99,-90.4092,306.38,2.32,1.05,0.00149,0.01815512,0.00736,0.020764463,-0.00742,0.00875972
6Heliceno_2-NO2_8-CHO_13-CHO_16-NO2.log,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.78,459.97,7.0729,253.6915,391.23,-142.3632,328.24,1.38,0.474,0.00149,0.013776375,0.0117,0.028515763,-0.00754,0.011910934
6Heliceno_2-CC_6-OMe_9-F_13-OMe_14-CC_15-CC.log,0.0,0.23,0.0,0.0,0.0,-0.27,0.0,0.0,0.06,0.0,0.0,0.0,-0.27,0.23,0.23,0.0,401.47,5.3635,540.6605,381.23,-416.1936,313.0,1.2,0.23,0.00149,0.007664311,0.0235,0.030845753,-0.00498,0.005586488
6Heliceno_5-yodo_9-fluor-15-cloro_3-yodo-12-yodo_8-cloro.log,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.227,0.06,0.0,0.0,0.18,0.0,0.0,0.227,0.0,402.33,9.8977,460.7012,367.64,-317.6015,275.03,1.63,0.583,0.00149,0.014309209,0.00574,0.025448456,-0.0059,0.006288713
6Heliceno_2-NO2_6-CHO_10-CHO_12-NO2_15-CHO_16-COOH.log,0.0,0.78,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.42,0.0,0.78,0.0,0.0,0.42,0.45,446.57,28.479,346.1254,406.39,-206.2603,321.09,2.77,1.09,0.00149,0.015768696,0.0153,0.032624407,-0.00437,0.004751811
6Heliceno_1-Cl_7-CH3_10-SH_11-Cl_14-NH2.log,0.227,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,0.0,0.15,0.227,0.0,0.0,-0.66,0.0,0.0,429.48,13.9724,164.2574,369.07,-302.9565,274.19,1.94,0.547,0.00149,0.011297654,0.00296,0.019359254,-0.00685,0.007212269
6Heliceno_1-NH2_3-F_4-OMe_6-CH3_11-COOH_14-NH2.log,-0.66,0.0,0.06,-0.27,0.0,-0.17,0.0,0.0,0.0,0.0,0.45,0.0,0.0,-0.66,0.0,0.0,425.59,9.9701,156.1934,349.29,-268.6755,260.0,1.63,1.08,0.00149,0.026504085,0.0254,0.036582467,-0.00782,0.008557435
6Heliceno_3-OH_9-OMe_7-SH.log,0.0,0.0,-0.37,0.0,0.0,0.0,0.15,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.34,22.1248,483.3307,348.78,-452.1826,261.42,2.44,0.674,0.00148,0.011043006,0.00932,0.024345349,-0.00596,0.007093959
6Heliceno_6-NH2_9-OMe_14-SH.log,0.0,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.15,0.0,0.0,407.84,8.7762,358.8843,341.73,-565.4336,270.71,1.54,0.591,0.00148,0.015340849,0.0213,0.032704265,-0.00565,0.006199756
6Heliceno_10-F_12-OMe_15-OMe.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.27,0.0,0.0,-0.27,0.0,392.94,18.693,561.0829,346.66,-313.4982,252.26,2.25,0.905,0.00148,0.016096075,0.00685,0.024685049,-0.00546,0.005649858
6Heliceno_1-SMe_3-OH_12-OMe_15-SH.log,0.001,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.15,0.0,412.06,9.7647,462.714,359.71,-228.0503,285.93,1.62,0.641,0.00148,0.015799099,0.00815,0.02989641,-0.00577,0.006652703
6Heliceno_4-yodo_1-fluor_15-cloro_13-fluor.log,0.06,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.227,0.0,386.41,6.3099,382.2657,351.49,-182.5129,258.92,1.31,0.696,0.00148,0.021320284,0.00583,0.028214217,-0.00868,0.012916832
6Heliceno_3-CN_7-OMe_12-F_13-OMe.log,0.0,0.0,0.66,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.06,-0.27,0.0,0.0,0.0,416.09,28.6743,197.5638,365.46,-301.2296,252.21,2.79,0.958,0.00148,0.013747779,0.00605,0.026251495,-0.00382,0.004482333
6Heliceno_1-CH3_5-CP_6-CP_8-CH3.log,-0.17,0.0,0.0,0.0,0.16,0.16,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.93,127.6238,109.9978,361.54,-157.8501,356.57,5.88,1.03,0.00148,0.006978112,0.00436,0.013741842,-0.00148,0.009956571
6Heliceno_5-CHO_8-CN_9-CHO_14-CHO_15-NO2.log,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.66,0.42,0.0,0.0,0.0,0.0,0.42,0.78,0.0,426.18,14.9134,241.6675,349.5,-204.9035,322.86,2.01,0.557,0.00148,0.011091596,0.00932,0.022183516,-0.00291,0.005963695
6Heliceno_3-cloro_5-yodo_8-yodo_9-cloro_11-bromo.log,0.0,0.0,0.227,0.0,0.18,0.0,0.0,0.18,0.227,0.0,0.232,0.0,0.0,0.0,0.0,0.0,411.85,6.4975,471.7744,368.59,-94.9384,275.72,1.33,0.345,0.00148,0.010400755,0.00663,0.016751807,-0.00349,0.008120238
6Heliceno_5-CHO_8-CN_9-CHO_14-CHO_15-NO2.log,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.66,0.42,0.0,0.0,0.0,0.0,0.42,0.78,0.0,426.18,14.9134,241.6675,349.5,-204.9035,322.86,2.01,0.557,0.00148,0.011091596,0.00932,0.022183516,-0.00291,0.005963695
6Heliceno_5-NH2_9-SH_13-OH_15-NH2_16-SH.log,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.15,0.0,0.0,0.0,-0.37,0.0,-0.66,0.15,423.46,25.4591,362.6525,384.59,-170.4936,265.11,2.62,1.26,0.00148,0.019194287,0.00779,0.023652026,-0.00355,0.007279039
6Heliceno_3-OMe_6-SH_8-SH_10-OH_11-SH.log,0.0,0.0,-0.27,0.0,0.0,0.15,0.0,0.15,0.0,-0.37,0.15,0.0,0.0,0.0,0.0,0.0,418.05,11.8563,222.456,379.11,-259.4008,264.37,1.79,0.51,0.00148,0.011392148,0.00545,0.018861719,-0.0071,0.011927927
6Heliceno_2-F_6-F_7-CC_13-CC_14-F_15-CN.log,0.0,0.06,0.0,0.0,0.0,0.06,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.06,0.66,0.0,416.15,23.3745,294.4233,360.72,-271.9916,321.63,2.52,1.16,0.00148,0.018446461,0.0149,0.032352051,-0.00371,0.004677061
6Heliceno_1-SH_4-NH2_11-Cl_12-OMe_14-CC_15-COOH.log,0.15,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.227,-0.27,0.0,0.23,0.45,0.0,479.6,18.4976,234.2833,361.65,-292.5534,284.62,2.24,0.682,0.00148,0.012179846,0.00522,0.015978939,-0.00334,0.004374397
6Heliceno_2-CHO_8-CHO.log,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.7,16.0044,342.4203,373.45,-233.492,292.76,2.08,0.71,0.00147,0.01363581,0.00853,0.028201053,-0.00324,0.007212093
6Heliceno_3-SH_14-OH.log,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,0.0,0.0,383.94,1.7346,657.0593,354.65,-401.4236,271.27,0.686,0.199,0.00147,0.011586905,0.0126,0.031533294,-0.00417,0.006253377
6Heliceno_11-COOH_1-CHO_2-NO2.log,0.42,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,410.71,2.6016,348.2853,338.72,-180.1621,277.95,0.843,0.82,0.00147,0.038903229,0.0122,0.025541722,-0.00823,0.013937878
6Heliceno_1-NO2_5-CN_4-CHO_7-NO2.log,0.78,0.0,0.0,0.42,0.66,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.92,1.1734,190.9289,378.99,-162.611,296.43,0.563,0.524,0.00147,0.037234107,0.00462,0.019883877,-0.00866,0.009319352
6Heliceno_2-SH_7-SH_8-NH2_14-SMe.log,0.0,0.15,0.0,0.0,0.0,0.0,0.15,-0.66,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,408.65,25.7424,571.9686,365.59,-441.2633,283.53,2.65,0.831,0.00147,0.012556182,0.0156,0.03188151,-0.00419,0.006191726
